Title,Prices,Item_url,Image_url,Category
Wallis petite maxi dress size 10,$5.72 ,https://www.ebay.com/itm/265236467921?hash=item3dc15350d1:g:MAwAAOSwgdVg8Xfz,https://i.ebayimg.com/thumbs/images/g/MAwAAOSwgdVg8Xfz/s-l225.jpg,Dress
Stunning Ralph Lauren Dress 10 NEW,$20.42 ,https://www.ebay.com/itm/224541140613?hash=item3447b1e685:g:rTIAAOSwjj9g9qtK,https://i.ebayimg.com/thumbs/images/g/rTIAAOSwjj9g9qtK/s-l225.jpg,Dress
White sticky fingers linen dress size 8 very good condition,$4.76 ,https://www.ebay.com/itm/164967804602?hash=item2668d8eeba:g:I5QAAOSwEJRg9b7q,https://i.ebayimg.com/thumbs/images/g/I5QAAOSwEJRg9b7q/s-l225.jpg,Dress
ted baker dress size 2,$6.79 ,https://www.ebay.com/itm/154538043779?hash=item23fb2f6983:g:tEkAAOSwZElg9u9C,https://i.ebayimg.com/thumbs/images/g/tEkAAOSwZElg9u9C/s-l225.jpg,Dress
MASAI LADIES SLEEVELESS WRAP DRESS IVORY WITH BLACK DESIGN SIZE S  VGC,$6.79 ,https://www.ebay.com/itm/144117737798?hash=item218e162946:g:8oUAAOSw0tJg9ARx,https://i.ebayimg.com/thumbs/images/g/8oUAAOSw0tJg9ARx/s-l225.jpg,Dress
womens dress size 20 Navy floral print by Joanne Hope,$2.31 ,https://www.ebay.com/itm/334083435977?hash=item4dc8ecadc9:g:ApIAAOSwPnFg9r2Y,https://i.ebayimg.com/thumbs/images/g/ApIAAOSwPnFg9r2Y/s-l225.jpg,Dress
Ladies M&S Pink Flowery Shift Dress Size 18 Excellent Condition,$12.24 ,https://www.ebay.com/itm/114896926476?hash=item1ac063f70c:g:vHkAAOSwoqtg51c8,https://i.ebayimg.com/thumbs/images/g/vHkAAOSwoqtg51c8/s-l225.jpg,Dress
womens river island dress size 12,$6.81 ,https://www.ebay.com/itm/203530838477?hash=item2f636221cd:g:l~8AAOSw11Ng9rv1,https://i.ebayimg.com/thumbs/images/g/l~8AAOSw11Ng9rv1/s-l225.jpg,Dress
Hobbs Fixed Wrap Jersey Dress Size 10,$13.61 ,https://www.ebay.com/itm/154535817934?hash=item23fb0d72ce:g:D8AAAOSwBgNg8Jrd,https://i.ebayimg.com/thumbs/images/g/D8AAAOSwBgNg8Jrd/s-l225.jpg,Dress
Topshop Summer midi dress size 10 RRP £45,$20.42 ,https://www.ebay.com/itm/224538968298?hash=item344790c0ea:g:R7AAAOSw72xg6v41,https://i.ebayimg.com/thumbs/images/g/R7AAAOSw72xg6v41/s-l225.jpg,Dress
Egyptian Dress Black,$1.35 ,https://www.ebay.com/itm/304071207788?hash=item46cc0e6b6c:g:RBgAAOSw5Blg9DQO,https://i.ebayimg.com/thumbs/images/g/RBgAAOSw5Blg9DQO/s-l225.jpg,Dress
kookai black nausica frill dress size 40 / 10 smocked mini dress long sleeve,$21.22 ,https://www.ebay.com/itm/274873325852?hash=item3fffba191c:g:2jAAAOSwbYZg9dRb,https://i.ebayimg.com/thumbs/images/g/2jAAAOSwbYZg9dRb/s-l225.jpg,Dress
Beautiful Sammer Mini Dress White Cotton Broderie Anglaise Size M,$9.51 ,https://www.ebay.com/itm/164969107139?hash=item2668eccec3:g:tEMAAOSwUvBg9pUz,https://i.ebayimg.com/thumbs/images/g/tEMAAOSwUvBg9pUz/s-l225.jpg,Dress
MAIOCCHI Dress Pink Floral Print Jersey Faux Wrap 3/4 Sleeves Size 18,$15.00 ,https://www.ebay.com/itm/353581085778?hash=item5253133452:g:BKkAAOSway5g9Xra,https://i.ebayimg.com/thumbs/images/g/BKkAAOSway5g9Xra/s-l225.jpg,Dress
Quiz Print Wrap Midi Dress - Size: 16,$5.72 ,https://www.ebay.com/itm/265234597098?hash=item3dc136c4ea:g:3hQAAOSwpGpg9CZr,https://i.ebayimg.com/thumbs/images/g/3hQAAOSwpGpg9CZr/s-l225.jpg,Dress
