Title,Prices,Item_url,Image_url,Category
"Black Onyx Handmade Gemstone Ethnic Gift Bracelet 7-8"" k862",$2.99 ,https://www.ebay.com/itm/184947855455?hash=item2b0fc0505f:g:ZGUAAOSwYjRg8n5G,https://i.ebayimg.com/thumbs/images/g/ZGUAAOSwYjRg8n5G/s-l225.jpg,Bracelet
New ListingLabradorite Gemstone 925 Sterling Silver Plated Cuff Bangle Bracelet BN-20-309,$4.99 ,https://www.ebay.com/itm/154539247403?hash=item23fb41c72b:g:HosAAOSwYltg-DHm,https://i.ebayimg.com/thumbs/images/g/HosAAOSwYltg-DHm/s-l225.jpg,Bracelet
New ListingRustic Cuff Stretchy Bracelet with Horse Charm,$4.99 ,https://www.ebay.com/itm/144120467913?hash=item218e3fd1c9:g:bRoAAOSw8Lhg9uzd,https://i.ebayimg.com/thumbs/images/g/bRoAAOSw8Lhg9uzd/s-l225.jpg,Bracelet
"K2 Azurite Emerald Gemstone Handmade Silver Jewelry Bracelet 7-8"" SMQ-156",$19.99 ,https://www.ebay.com/itm/133824010122?hash=item1f2888578a:g:uWUAAOSw90pfCFmI,https://i.ebayimg.com/thumbs/images/g/uWUAAOSw90pfCFmI/s-l225.jpg,Bracelet
"Bi-Color Tourmaline Peridot Gemstone Silver Jewelry Bracelet 7-8"" SMQ-1172",$19.99 ,https://www.ebay.com/itm/133824010109?hash=item1f2888577d:g:sdwAAOSwn1tfCFpZ,https://i.ebayimg.com/thumbs/images/g/sdwAAOSwn1tfCFpZ/s-l225.jpg,Bracelet
"Snoflake Obsidian Coral Gemstone Ethnic Gift Jewelry Bracelet 7-8"" C919",$2.99 ,https://www.ebay.com/itm/184955132940?hash=item2b102f5c0c:g:D7AAAOSwT3Fg9wKY,https://i.ebayimg.com/thumbs/images/g/D7AAAOSwT3Fg9wKY/s-l225.jpg,Bracelet
"New Listing100% Natural Garnet Gemstone 3-4mm Rondelle Faceted Beads Jewelry L-7"" Bracelet",$6.79 ,https://www.ebay.com/itm/133825565575?hash=item1f28a01387:g:M~gAAOSwTslgxLNC,https://i.ebayimg.com/thumbs/images/g/M~gAAOSwTslgxLNC/s-l225.jpg,Bracelet
"New Listing7"" TRICOLOR BRACELET w/SWIRLY OVAL BEADS  GOLD/ROSE/STERLING SILVER ITALY 925",$19.99 ,https://www.ebay.com/itm/114899825181?hash=item1ac090321d:g:3fYAAOSwv3JbJy9j,https://i.ebayimg.com/thumbs/images/g/3fYAAOSwv3JbJy9j/s-l225.jpg,Bracelet
"New 8-9mm 2 Rows Genuine Natural Freshwater Akoya Pearl Bracelet 7.5""",$6.99 ,https://www.ebay.com/itm/323661584342?hash=item4b5bbbd7d6:g:in4AAOSwr~dZjVm~,https://i.ebayimg.com/thumbs/images/g/in4AAOSwr~dZjVm~/s-l225.jpg,Bracelet
Howlite Chicklet Gemstone Beads Designer Stretchable Bracelet Jewelry B1294,$8.99 ,https://www.ebay.com/itm/353581864422?hash=item52531f15e6:g:JBQAAOSw32Vg2W1I,https://i.ebayimg.com/thumbs/images/g/JBQAAOSw32Vg2W1I/s-l225.jpg,Bracelet
